bed,row,col,Unique.ID,height.cm,overhd.diam,overhd.perp,herbv.scale,survey.notes,survey date
C,1,A,buffer,,,,,,7/18/25
C,1,B,buffer,,,,,,7/18/25
C,2,A,buffer,,,,,,7/18/25
C,2,B,buffer,,,,,,7/18/25
C,3,A,buffer,,,,,,7/18/25
C,3,B,buffer,,,,,,7/18/25
C,4,A,2566,,,,,,7/18/25
C,4,B,2595,,,,,,7/18/25
C,5,A,2642,,,,,,7/18/25
C,5,B,buffer,,,,,,7/18/25
C,6,A,2509,,,,,,7/18/25
C,6,B,2549,4.1,4.6,1.9,1,,7/18/25
C,7,A,2452,,,,,,7/18/25
C,7,B,2095,3.1,3.2,1.9,1,,7/18/25
C,8,A,2291,9.3,3.2,3.1,0,,7/18/25
C,8,B,2252,7.8,5.3,4.8,1,,7/18/25
C,9,A,NA,,,,,,7/18/25
C,9,B,2634,12.8,3.9,1.4,1,,7/18/25
C,10,A,2466,,,,,,7/18/25
C,10,B,2302,NA,NA,NA,NA,Dead,7/18/25
C,11,A,2338,,,,,,7/18/25
C,11,B,2605,,,,,dead at planting,7/18/25
C,12,A,2326,5.5,4.5,3.8,1,,7/18/25
C,12,B,1819,5,6.2,3.8,1,,7/18/25
C,13,A,2520,,,,,,7/18/25
C,13,B,2591,7.4,2.9,2.9,1,,7/18/25
C,14,A,2150,,,,,,7/18/25
C,14,B,1915,NA,NA,NA,NA,Dead,7/18/25
C,15,A,2472,6.6,3.2,1.6,1,,7/18/25
C,15,B,1981,4.5,2.3,1.4,1,,7/18/25
C,16,A,2023,,,,,,7/18/25
C,16,B,1908,NA,NA,NA,NA,Dead,7/18/25
C,17,A,1787,11.8,4.4,3.1,0,,7/18/25
C,17,B,2274,,,,,,7/18/25
C,18,A,2090,NA,NA,NA,NA,Dead,7/18/25
C,18,B,1883,5,4.1,3.9,1,,7/18/25
C,19,A,2063,6.6,4.4,3.7,1,,7/18/25
C,19,B,2236,9.3,6.2,5.8,0,,7/18/25
C,20,A,2592,,,,,,7/18/25
C,20,B,2213,9.1,6.5,4.5,1,,7/18/25
C,21,A,2370,4.7,4.3,3.1,0,,7/18/25
C,21,B,698,35.1,42.7,22.6,0,,7/18/25
C,22,A,2638,9.4,3.8,2.9,0,,7/18/25
C,22,B,buffer,,,,,,7/18/25
C,23,A,2489,7.9,2.4,2.1,0,,7/18/25
C,23,B,2564,4.3,3,2.8,0,,7/18/25
C,24,A,buffer,,,,,,7/18/25
C,24,B,118,23.4,25.1,22.6,0,,7/18/25
C,25,A,2505,7.6,4.6,3.7,2,,7/18/25
C,25,B,1459,29.2,23.3,15.3,1,,7/18/25
C,26,A,2602,5.5,2.6,2.4,0,,7/18/25
C,26,B,2284,13.3,6.2,3.4,0,,7/18/25
C,27,A,2323,4.3,3.9,3.1,0,,7/18/25
C,27,B,buffer,,,,,,7/18/25
C,28,A,2478,4.6,2.5,2,0,,7/18/25
