bed,row,col,Unique.ID,height.cm,overhd.diam,overhd.perp,herbv.scale,leaf.number,survey.notes,survey date
C,1,A,buffer,,,,,,,8/7/25
C,1,B,buffer,,,,,,,8/7/25
C,2,A,buffer,,,,,,,8/7/25
C,2,B,buffer,,,,,,,8/7/25
C,3,A,buffer,,,,,,,8/7/25
C,3,B,buffer,,,,,,,8/7/25
C,4,A,2566,,,,,,,8/7/25
C,4,B,2595,,,,,,,8/7/25
C,5,A,2642,,,,,,,8/7/25
C,5,B,buffer,,,,,,,8/7/25
C,6,A,2509,,,,,,,8/7/25
C,6,B,2549,3.6,3.7,2.4,1,9,,8/7/25
C,7,A,2452,,,,,,,8/7/25
C,7,B,2095,3.3,2.9,1.6,1,19,,8/7/25
C,8,A,2291,9.2,3.8,2.5,0,11,,8/7/25
C,8,B,2252,8,7.4,5.2,1,21,,8/7/25
C,9,A,NA,,,,,,,8/7/25
C,9,B,2634,12.9,4.3,1.4,1,5,,8/7/25
C,10,A,2466,,,,,,,8/7/25
C,10,B,2302,,,,,,,8/7/25
C,11,A,2338,,,,,,,8/7/25
c,11,B,2605,,,,,,dead at planting,8/7/25
C,12,A,2326,6.2,2.2,1.4,1,16,,8/7/25
C,12,B,1819,5.1,6.8,3.6,1,17,,8/7/25
C,13,A,2520,,,,,,,8/7/25
c,13,B,2591,7.5,4.4,2.5,1,11,,8/7/25
C,14,A,2150,,,,,,,8/7/25
C,14,B,1915,,,,,,,8/7/25
C,15,A,2472,6.6,2.7,1.9,1,5,,8/7/25
C,15,B,1981,4.5,2.1,2.1,1,5,,8/7/25
C,16,A,2023,,,,,,,8/7/25
C,16,B,1908,,,,,,,8/7/25
C,17,A,1787,NA,NA,NA,NA,NA,dead,8/7/25
C,17,B,2274,,,,,,,8/7/25
C,18,A,2090,,,,,,,8/7/25
C,18,B,1883,6.9,4.3,2.4,1,18,,8/7/25
C,19,A,2063,6.7,5.5,4.2,1,27,Wilting,8/7/25
C,19,B,2236,9.2,5.9,4.1,0,12,,8/7/25
C,20,A,2592,,,,,,,8/7/25
C,20,B,2213,10.1,4.6,4.4,0,19,,8/7/25
C,21,A,2370,5.1,4.1,2.9,1,8,,8/7/25
C,21,B,698,35.2,37.8,19.4,0,0,all branches rep,8/7/25
C,22,A,2638,9.7,2.9,2,0,5,,8/7/25
C,22,B,buffer,,,,,,,8/7/25
C,23,A,2489,9.1,2.6,16,0,13,,8/7/25
C,23,B,2564,4.8,2.4,2.1,1,7,,8/7/25
C,24,A,buffer,,,,,,,8/7/25
C,24,B,118,19.3,32.1,20.3,0,0,all branchs rep,8/7/25
C,25,A,2505,8.3,5.3,2.4,1,12,,8/7/25
C,25,B,1459,30.2,22.1,15.6,1,0,all branches NP,8/7/25
C,26,A,2602,5.6,3,2.8,0,9,,8/7/25
c,26,B,2284,13.9,6.1,2.5,0,14,,8/7/25
C,27,A,2323,4.9,5.1,2,1,11,,8/7/25
C,27,B,buffer,,,,,,,8/7/25
C,28,A,2478,4.8,2,1.4,0,4,,8/7/25
C,28,B,2557,30.2,1.2,1,1,0,all branches rep,8/7/25
C,29,A,1780,17.4,1.9,1.2,2,5,drying,8/7/25
C,29,B,2454,,,,,,,8/7/25
C,30,A,NA,,,,,,,8/7/25
C,30,B,341,35.2,45.6,25.4,0,0,all branches rep,8/7/25
C,31,A,1228,34.3,16.2,15.7,0,0,all branches rep,8/7/25
C,31,B,2442,6.9,4.2,2.5,1,8,,8/7/25
C,32,A,939,,,,,,,8/7/25
C,32,B,1700,3.6,5.1,4.3,1,16,,8/7/25
C,33,A,2523,6.5,6.1,4.2,1,12,,8/7/25
C,33,B,183,13.3,12.2,5.3,0,0,dying,8/7/25
C,34,A,1745,11.2,4.8,4.6,2,7,,8/7/25
C,34,B,2467,,,,,,,8/7/25
C,35,A,2396,,,,,,,8/7/25
C,35,B,2427,,,,,,,8/7/25
C,36,A,1905,,,,,,,8/7/25
C,36,B,buffer,,,,,,,8/7/25
C,37,A,2381,,,,,,,8/7/25
C,37,B,1289,18.2,7.3,3.9,0,0,all branches rep,8/7/25
C,38,A,2009,5.8,4.5,3.9,1,14,,8/7/25
C,38,B,2230,6.9,4.3,3.4,2,5,,8/7/25
C,39,A,2487,6,3.4,3.2,1,10,,8/7/25
C,39,B,1866,5.3,5.6,4.8,1,26,,8/7/25
C,40,A,2069,7.8,5.6,4,0,12,,8/7/25
C,40,B,2621,,,,,,,8/7/25
C,41,A,2493,3.3,2,1.6,0,5,,8/7/25
C,41,B,2574,4.8,2.9,2.7,1,8,,8/7/25
C,42,A,1747,14.8,5.4,4.1,0,11,,8/7/25
C,42,B,buffer,,,,,,,8/7/25
C,43,A,73,24.6,8.2,7.7,0,0,all branches rep,8/7/25
c,43,B,2522,4.1,2.6,1.9,1,5,,8/7/25
C,44,A,2558,5.2,3.5,2.3,1,6,,8/7/25
C,44,B,2169,7.3,4.5,3.3,1,8,,8/7/25
C,45,A,2165,18.6,5.8,5.2,1,4,,8/7/25
C,45,B,2328,9.5,8.2,3.7,1,16,,8/7/25
C,46,A,2408,3.1,2,1.6,0,5,,8/7/25
C,46,B,2392,26.6,4.1,3.2,1,5,,8/7/25
C,47,A,2154,8.1,4.5,3.2,1,10,,8/7/25
C,47,B,1933,,,,,,,8/7/25
C,48,A,1893,,,,,,,8/7/25
C,48,B,2411,,,,,,,8/7/25
C,49,A,buffer,,,,,,,8/7/25
C,49,B,2551,4.3,2.6,2.3,0,4,Wilting,8/7/25
C,50,A,1620,5.4,5.1,2.6,0,5,,8/7/25
C,50,B,404,52.4,16.1,13,1,0,all branches rep,8/7/25
C,51,A,2579,7.7,4.6,3,0,7,,8/7/25
C,51,B,2361,6.3,7.2,5.1,0,14,,8/7/25
C,52,A,buffer,,,,,,,8/7/25
C,52,B,buffer,,,,,,,8/7/25
C,53,A,1990,,,,,,,8/7/25
C,53,B,2286,9.6,4.4,2.7,1,5,,8/7/25
C,54,A,1795,15.1,1.2,0.8,0,0,all branches rep,8/7/25
C,54,B,buffer,,,,,,,8/7/25
C,55,A,2488,,,,,,,8/7/25
C,55,B,2020,3.1,2.1,2.1,1,4,,8/7/25
C,56,A,1936,4.2,1.6,1,0,2,,8/7/25
C,56,B,2173,9.7,3.9,3.2,1,6,,8/7/25
C,57,A,2608,4.5,1.1,0.9,1,1,dying,8/7/25
C,57,B,2398,4.1,2.3,2.1,0,4,,8/7/25
C,58,A,395,,,,,,,8/7/25
C,58,B,1916,,,,,,,8/7/25
C,59,A,buffer,,,,,,,8/7/25
C,59,B,buffer,,,,,,,8/7/25
C,60,A,buffer,,,,,,,8/7/25
C,60,B,buffer,,,,,,,8/7/25
C,1,C,buffer,,,,,,,8/7/25
C,1,D,buffer,,,,,,,8/7/25
C,2,C,buffer,,,,,,,8/7/25
C,2,D,buffer,,,,,,,8/7/25
C,3,C,buffer,,,,,,,8/7/25
C,3,D,buffer,,,,,,,8/7/25
C,4,C,2127,,,,,,,8/7/25
C,4,D,NA,,,,,,,8/7/25
C,5,C,2228,6.2,3.3,2.1,0,5,,8/7/25
C,5,D,NA,,,,,,rock here,8/7/25
C,6,C,2476,3.5,4.1,4,1,7,,8/7/25
C,6,D,2314,,,,,,,8/7/25
C,7,C,2051,4.5,2.8,2.6,1,16,,8/7/25
C,7,D,2419,1.9,1.8,1,0,6,,8/7/25
C,8,C,1826,4,4.6,2.1,0,6,,8/7/25
C,8,D,1699,,,,,,,8/7/25
C,9,C,2200,,,,,,,8/7/25
C,9,D,NA,,,,,,rock here,8/7/25
C,10,C,2006,,,,,,,8/7/25
C,10,D,NA,,,,,,rock here,8/7/25
C,11,C,2563,,,,,,,8/7/25
C,11,D,2170,9.9,4.8,2.8,0,6,,8/7/25
C,12,C,1621,8.5,3.4,3,0,7,,8/7/25
C,12,D,2258,5.5,3.1,2.8,0,8,,8/7/25
C,13,C,2619,,,,,,,8/7/25
C,13,D,2041,3.4,2.8,2.5,0,7,,8/7/25
C,14,C,1950,,,,,,dead at planting,8/7/25
C,14,D,1873,4.5,3.6,1.2,0,6,wilting,8/7/25
C,15,C,1738,NA,NA,NA,NA,NA,dead,8/7/25
C,15,D,2555,,,,,,,8/7/25
C,16,C,2359,,,,,,,8/7/25
C,16,D,2115,2.1,4,1.5,1,11,,8/7/25
C,17,C,1608,,,,,,,8/7/25
c,17,D,2217,7.6,4.5,2.6,1,8,,8/7/25
C,18,C,2402,4.4,1.7,1.4,2,10,,8/7/25
c,18,D,1931,,,,,,,8/7/25
C,19,C,1861,3.9,6.9,6,0,51,,8/7/25
C,19,D,2391,,,,,,,8/7/25
C,20,C,2360,4.9,7.3,3.5,1,17,,8/7/25
C,20,D,2254,6.6,3.4,2.9,1,8,,8/7/25
C,21,C,2303,6.6,5.4,4.1,1,25,,8/7/25
C,21,D,2550,3.5,2.9,2.2,2,11,,8/7/25
C,22,C,2499,5.4,5.4,3.5,1,18,,8/7/25
C,22,D,2606,7.3,7.7,6.4,0,15,,8/7/25
