bed,row,col,Unique.ID,height.cm,overhd.diam,overhd.perp,herbv.scale,survey.notes,survey.date
C,1,A,buffer,,,,,,8/28/25
C,1,B,buffer,,,,,,8/28/25
C,2,A,buffer,,,,,,8/28/25
C,2,B,buffer,,,,,,8/28/25
C,3,A,buffer,,,,,,8/28/25
C,3,B,buffer,,,,,,8/28/25
C,4,A,2566,,,,,,8/28/25
C,4,B,2595,,,,,,8/28/25
C,5,A,2642,,,,,,8/28/25
C,5,B,buffer,,,,,,8/28/25
C,6,A,2509,,,,,,8/28/25
C,6,B,2549,3.7,4.5,1.9,1,,8/28/25
C,7,A,2452,,,,,,8/28/25
C,7,B,2095,2.6,3.4,1.7,2,,8/28/25
C,8,A,2291,6.2,3.5,3.4,0,,8/28/25
C,8,B,2252,6.7,5.7,4.1,1,,8/28/25
C,9,A,NA,,,,,,8/28/25
C,9,B,2634,14.7,3.3,1.8,1,,8/28/25
C,10,A,2466,,,,,,8/28/25
C,10,B,2302,NA,NA,NA,NA,Dead,8/28/25
C,11,A,2338,,,,,,8/28/25
C,11,B,2605,,,,,dead at planting,8/28/25
C,12,A,2326,4.6,4,2.6,1,,8/28/25
C,12,B,1819,4.3,6.6,2.3,0,,8/28/25
C,13,A,2520,,,,,,8/28/25
C,13,B,2591,6.2,2.7,2.3,1,,8/28/25
C,14,A,2150,,,,,,8/28/25
C,14,B,1915,,,,,,8/28/25
C,15,A,2472,5.5,2.5,1.8,1,,8/28/25
C,15,B,1981,3.5,2.2,1.7,1,,8/28/25
C,16,A,2023,,,,,,8/28/25
C,16,B,1908,,,,,,8/28/25
C,17,A,1787,,,,,,8/28/25
C,17,B,2274,,,,,,8/28/25
C,18,A,2090,,,,,,8/28/25
C,18,B,1883,4.4,4,3.5,1,,8/28/25
C,19,A,2063,5.7,4.9,3.9,1,,8/28/25
C,19,B,2236,8.6,4.5,3.2,1,,8/28/25
C,20,A,2592,NA,NA,NA,NA,Dead,8/28/25
C,20,B,2213,7.2,4.2,4,1,,8/28/25
C,21,A,2370,5.5,2.9,2.7,1,,8/28/25
C,21,B,698,NA,NA,NA,NA,Dead,8/28/25
C,22,A,2638,9.5,2.7,1.5,0,,8/28/25
C,22,B,buffer,,,,,,8/28/25
C,23,A,2489,6.2,2.7,1.4,1,,8/28/25
C,23,B,2564,4.3,2.9,2,1,,8/28/25
C,24,A,buffer,,,,,,8/28/25
C,24,B,118,17.5,32,21.4,0,Mostly dead; some green leaves,8/28/25
C,25,A,2505,7.3,3.2,2.5,1,,8/28/25
C,25,B,1459,28.9,21.8,14.3,0,Dry but green fruit,8/28/25
C,26,A,2602,5.5,2.5,1.5,3,,8/28/25
C,26,B,2284,11.1,4.5,2.6,2,,8/28/25
C,27,A,2323,3.1,3,2.4,1,,8/28/25
C,27,B,buffer,,,,,,8/28/25
C,28,A,2478,4.3,1.7,1,1,,8/28/25
C,28,B,2557,28.3,7.7,0.4,0,,8/28/25
C,29,A,1780,NA,NA,NA,NA,Dead,8/28/25
C,29,B,2454,,,,,,8/28/25
C,30,A,NA,,,,,,8/28/25
C,30,B,341,32.9,35.2,32.4,0,,8/28/25
C,31,A,1228,30.3,15.6,12.5,0,Dry; green fruit,8/28/25
C,31,B,2442,5.8,2.8,2.8,1,,8/28/25
C,32,A,939,,,,,,8/28/25
C,32,B,1700,4,3.9,3.7,1,,8/28/25
C,33,A,2523,6.6,5.5,3.2,1,,8/28/25
C,33,B,183,12.7,10.2,10.1,0,,8/28/25
C,34,A,1745,11.1,3.9,2.9,2,,8/28/25
C,34,B,2467,,,,,,8/28/25
C,35,A,2396,,,,,,8/28/25
C,35,B,2427,,,,,,8/28/25
C,36,A,1905,,,,,,8/28/25
C,36,B,buffer,,,,,,8/28/25
C,37,A,2381,,,,,,8/28/25
C,37,B,1289,17.7,8.8,6.3,0,,8/28/25
C,38,A,2009,4.6,5.5,4,1,,8/28/25
C,38,B,2230,5.9,3.5,3.5,2,,8/28/25
C,39,A,2487,5.2,3.1,2.7,1,,8/28/25
C,39,B,1866,4.5,5.3,4.6,0,,8/28/25
C,40,A,2069,6.3,4.9,2.9,0,,8/28/25
C,40,B,2621,,,,,,8/28/25
C,41,A,2493,2.9,1.5,1.3,0,,8/28/25
C,41,B,2574,4.3,2.5,1.7,1,,8/28/25
C,42,A,1747,13.6,3.9,3.4,0,,8/28/25
C,42,B,buffer,,,,,,8/28/25
C,43,A,73,NA,NA,NA,NA,Dead,8/28/25
C,43,B,2522,3.9,2.1,1.1,2,,8/28/25
C,44,A,2558,3.6,3.5,1.5,0,,8/28/25
C,44,B,2169,6.1,3.4,2.3,1,,8/28/25
C,45,A,2165,21.5,5.3,3.7,1,,8/28/25
C,45,B,2328,8.6,6,4.2,1,,8/28/25
C,46,A,2408,3.2,1.7,1.4,0,,8/28/25
C,46,B,2392,26.2,3.5,2.2,1,,8/28/25
C,47,A,2154,6.9,2.9,3.4,1,,8/28/25
C,47,B,1933,,,,,,8/28/25
C,48,A,1893,,,,,,8/28/25
C,48,B,2411,,,,,,8/28/25
C,49,A,buffer,,,,,,8/28/25
C,49,B,2551,,,,,,8/28/25
C,50,A,1620,3.2,3.4,2.5,0,,8/28/25
C,50,B,404,51,18.2,13.5,0,,8/28/25
C,51,A,2579,8.2,4,2.3,0,,8/28/25
C,51,B,2361,5.5,5.7,3,0,,8/28/25
C,52,A,buffer,,,,,,8/28/25
C,52,B,buffer,,,,,,8/28/25
C,53,A,1990,,,,,,8/28/25
C,53,B,2286,8.5,3.6,1.9,1,,8/28/25
C,54,A,1795,13.5,4.3,3.2,0,,8/28/25
C,54,B,buffer,,,,,,8/28/25
C,55,A,2488,,,,,,8/28/25
C,55,B,2020,2.2,2.2,2,2,,8/28/25
C,56,A,1936,3.7,1.7,1.3,0,,8/28/25
C,56,B,2173,7.1,3.7,15,1,,8/28/25
C,57,A,2608,NA,NA,NA,NA,Dead,8/28/25
C,57,B,2398,3,2.9,2.5,1,,8/28/25
C,58,A,395,,,,,,8/28/25
C,58,B,1916,,,,,,8/28/25
C,59,A,buffer,,,,,,8/28/25
C,59,B,buffer,,,,,,8/28/25
C,60,A,buffer,,,,,,8/28/25
C,60,B,buffer,,,,,,8/28/25
C,1,C,buffer,,,,,,8/28/25
C,1,D,buffer,,,,,,8/28/25
C,2,C,buffer,,,,,,8/28/25
C,2,D,buffer,,,,,,8/28/25
C,3,C,buffer,,,,,,8/28/25
C,3,D,buffer,,,,,,8/28/25
C,4,C,2127,,,,,,8/28/25
C,4,D,NA,,,,,,8/28/25
C,5,C,2228,7.6,3.1,2.8,1,,8/28/25
C,5,D,NA,,,,,rock here,8/28/25
C,6,C,2476,4.5,2.2,1.4,0,,8/28/25
C,6,D,2314,,,,,,8/28/25
C,7,C,2051,5.5,4.9,2,1,,8/28/25
C,7,D,2419,3.6,2.3,1.3,0,,8/28/25
C,8,C,1826,5.3,3.2,7.4,0,,8/28/25
C,8,D,1699,,,,,,8/28/25
C,9,C,2200,NA,NA,NA,NA,dead,8/28/25
C,9,D,NA,,,,,rock here,8/28/25
C,10,C,2006,,,,,,8/28/25
C,10,D,NA,,,,,rock here,8/28/25
C,11,C,2563,,,,,,8/28/25
C,11,D,2170,11.6,4.1,2.2,1,,8/28/25
C,12,C,1621,8.8,2.7,2.7,1,,8/28/25
C,12,D,2258,6,2.8,1.7,1,,8/28/25
C,13,C,2619,,,,,,8/28/25
C,13,D,2041,3.9,3,1.7,1,,8/28/25
C,14,C,1950,,,,,dead at planting,8/28/25
C,14,D,1873,5,3,2.9,2,,8/28/25
C,15,C,1738,,,,,,8/28/25
C,15,D,2555,,,,,,8/28/25
C,16,C,2359,,,,,,8/28/25
C,16,D,2115,4.1,1.9,1.5,1,,8/28/25
C,17,C,1608,,,,,,8/28/25
C,17,D,2217,2.9,4.4,1.4,1,,8/28/25
C,18,C,2402,6,2,1,2,,8/28/25
C,18,D,1931,,,,,,8/28/25
C,19,C,1861,5.9,6.4,5.3,0,,8/28/25
C,19,D,2391,,,,,,8/28/25
C,20,C,2360,6.3,4.2,3.7,1,,8/28/25
C,20,D,2254,8.1,3.2,2.4,1,,8/28/25
C,21,C,2303,7.1,4.7,3.8,1,,8/28/25
C,21,D,2550,3.5,2.5,1.9,1,,8/28/25
C,22,C,2499,6.4,5.1,3,1,,8/28/25
C,22,D,2606,7.5,6,4,0,,8/28/25
C,23,C,2405,6.5,4.8,2.1,0,,8/28/25
C,23,D,737,28.5,25.7,7.6,0,,8/28/25
C,24,C,2070,7.9,5.8,2.2,1,,8/28/25
C,24,D,1911,,,,,,8/28/25
C,25,C,1820,7.1,5.7,2.4,1,,8/28/25
C,25,D,1828,4,2.4,1.6,1,,8/28/25
C,26,C,NA,,,,,,8/28/25
C,26,D,NA,,,,,,8/28/25
C,27,C,NA,,,,,,8/28/25
C,27,D,NA,,,,,,8/28/25
C,28,C,1932,5.5,2.4,1.9,1,,8/28/25
C,28,D,buffer,,,,,,8/28/25
C,29,C,711,29.4,18.1,11.9,0,dry w/ green Fruit,8/28/25
C,29,D,2269,,,,,,8/28/25
C,30,C,2620,3.6,2.1,1,0,,8/28/25
C,30,D,2646,25,6.5,2.6,0,,8/28/25
C,31,C,2420,3.4,2.7,1.9,1,,8/28/25
C,31,D,2096,6.9,8.4,5.9,1,,8/28/25
C,32,C,2580,NA,NA,NA,NA,dead,8/28/25
C,32,D,2430,5,2.8,1.5,1,,8/28/25
C,33,C,2339,6.3,3.6,2.5,1,,8/28/25
C,33,D,2410,2.4,1.5,1.2,1,,8/28/25
C,34,C,2471,7.1,2.2,1.9,1,,8/28/25
C,34,D,2201,6.4,5.7,3.4,1,,8/28/25
C,35,C,2218,7.8,1.7,1,1,,8/28/25
C,35,D,2153,,,,,,8/28/25
C,36,C,buffer,,,,,,8/28/25
C,36,D,buffer,,,,,,8/28/25
C,37,C,2260,13.5,3.8,3.1,1,,8/28/25
C,37,D,714,,,,,,8/28/25
C,38,C,1982,4,2.1,1.5,1,,8/28/25
C,38,D,539,10.8,5.6,1,1,,8/28/25
C,39,C,2220,10.7,5.7,3.1,1,,8/28/25
C,39,D,1821,6.4,6,3.6,1,,8/28/25
C,40,C,1992,6.1,2.9,1.7,1,,8/28/25
C,40,D,2204,4.9,3.7,2.6,1,,8/28/25
C,41,C,2607,4.1,1.4,0.8,2,,8/28/25
C,41,D,2554,6.4,3.3,1.4,1,,8/28/25
C,42,C,2446,,,,,,8/28/25
C,42,D,2043,4.4,2.1,1.6,1,,8/28/25
C,43,C,1156,28.1,27.1,25.8,0,,8/28/25
C,43,D,1048,33.9,17.7,3.1,0,"dry, green fruit",8/28/25
C,44,C,1252,NA,NA,NA,NA,dead,8/28/25
C,44,D,1085,27.4,0.9,0.9,0,,8/28/25
C,45,C,NA,,,,,,8/28/25
C,45,D,394,27.1,3.1,1.2,0,,8/28/25
C,46,C,NA,,,,,,8/28/25
C,46,D,1766,25.9,6.7,3.4,1,,8/28/25
C,47,C,2255,6.2,3.9,2.8,1,,8/28/25
