bed,row,col,Unique.ID,height.cm,overhd.diam,overhd.perp,herbv.scale,survey.notes,survey.date
E,17,A,1807,,,,,,9/4/25
E,17,B,1840,,,,,,9/4/25
E,18,A,2000,6.1,3.6,2.4,0,,9/4/25
E,18,B,372,NA,NA,NA,NA,Dedd,9/4/25
E,19,A,1605,,,,,,9/4/25
E,19,B,1975,9.4,3.6,3.2,1,,9/4/25
E,20,A,1684,,,,,dead pre-planting,9/4/25
E,20,B,2367,4.8,2.5,1.6,1,,9/4/25
E,21,A,2104,5.1,3.9,2.8,2,,9/4/25
E,21,B,2437,9,3.6,2.9,0,,9/4/25
E,22,A,2014,3.6,2.3,1.9,0,,9/4/25
E,22,B,buffer,,,,,,9/4/25
E,23,A,buffer,,,,,,9/4/25
E,23,B,2524,,,,,,9/4/25
E,24,A,2584,,,,,,9/4/25
E,24,B,2400,,,,,,9/4/25
E,25,A,2332,7.8,3.6,3.2,2,,9/4/25
E,25,B,1808,3.5,6,2.3,1,,9/4/25
E,26,A,1713,24.1,3.2,1.2,2,dry leaves,9/4/25
E,26,B,NA,,,,,hole here,9/4/25
E,27,A,95,,,,,,9/4/25
E,27,B,1841,3.6,2.6,1.1,3,,9/4/25
E,28,A,1999,,,,,,9/4/25
E,28,B,2453,9.2,5.2,3.9,0,,9/4/25
E,29,A,2106,4.2,3.9,3.5,0,,9/4/25
E,29,B,2375,4.6,5.1,3,1,,9/4/25
E,30,A,NA,,,,,,9/4/25
E,30,B,NA,,,,,,9/4/25
E,41,A,1601,8.1,5.9,4,0,,9/4/25
E,41,B,2194,,,,,,9/4/25
E,42,A,2627,,,,,,9/4/25
E,42,B,2434,4.1,2,1.9,1,,9/4/25
E,43,A,369,,,,,,9/4/25
E,43,B,1686,2.3,3,1.8,0,,9/4/25
E,44,A,NA,,,,,hole here,9/4/25
E,44,B,2273,26.8,8.9,2.1,0,,9/4/25
E,45,A,2208,6.1,4.2,4,1,,9/4/25
E,45,B,1902,,,,,,9/4/25
E,46,A,2304,,,,,,9/4/25
E,46,B,2613,7.1,4.4,3.4,0,,9/4/25
E,47,A,NA,,,,,hole here,9/4/25
E,47,B,2586,9.2,4.6,3.8,0,,9/4/25
E,48,A,2164,10.3,4.6,3.8,0,,9/4/25
E,48,B,1974,10.5,8.3,3.8,0,,9/4/25
E,49,A,buffer,,,,,,9/4/25
E,49,B,2503,11.6,3.7,3.6,0,,9/4/25
E,50,A,2458,,,,,,9/4/25
E,50,B,1193,,,,,,9/4/25
E,51,A,334,NA,NA,NA,NA,Dead,9/4/25
E,51,B,1800,18.2,3.4,2.3,0,,9/4/25
E,52,A,buffer,,,,,,9/4/25
E,52,B,buffer,,,,,,9/4/25
E,1,C,buffer,,,,,only 2 buffers,9/4/25
E,1,D,buffer,,,,,only 2 buffers,9/4/25
E,2,C,buffer,,,,,,9/4/25
E,2,D,buffer,,,,,,9/4/25
E,3,C,buffer,,,,,,9/4/25
E,3,D,buffer,,,,,,9/4/25
E,4,C,1789,,,,,,9/4/25
E,4,D,2415,,,,,,9/4/25
E,5,C,NA,,,,,rock here,9/4/25
E,5,D,2432,3.5,2.4,0.8,2,,9/4/25
E,6,C,1656,,,,,,9/4/25
E,6,D,NA,,,,,unplantable,9/4/25
E,7,C,2582,,,,,,9/4/25
E,7,D,1406,28.4,32.5,24.2,0,,9/4/25
E,8,C,2541,7.1,4.6,2.6,1,,9/4/25
E,8,D,2366,6.4,4.8,4,1,,9/4/25
E,9,C,2636,,,,,stem broken pre-planting,9/4/25
E,9,D,2347,7,3.1,2.6,1,,9/4/25
E,10,C,1711,,,,,,9/4/25
E,10,D,2630,,,,,dead,9/4/25
E,11,C,2268,10.1,3.3,2.3,1,,9/4/25
E,11,D,2552,7,4.3,2.7,1,,9/4/25
E,12,C,NA,,,,,rock here,9/4/25
E,12,D,2007,6.4,4.5,2.7,1,,9/4/25
E,13,C,NA,,,,,rock here,9/4/25
E,13,D,1490,29.4,26.9,23,0,,9/4/25
E,14,c,2193,5.6,3.5,2.1,1,,9/4/25
E,14,D,2394,2.8,2.7,2.6,1,,9/4/25
E,15,C,2498,,,,,,9/4/25
E,15,D,NA,,,,,,9/4/25
E,16,C,2272,13.1,3.4,3.4,1,,9/4/25
E,16,D,NA,,,,,,9/4/25
E,17,C,1657,,,,,,9/4/25
E,17,D,2174,9.6,2.1,1.1,2,,9/4/25
E,18,C,2057,11.2,4.3,3.3,1,,9/4/25
E,18,D,2122,6.5,2.9,1.8,1,,9/4/25
E,19,C,2040,4.7,2.7,2,1,,9/4/25
E,19,D,buffer,,,,,,9/4/25
E,20,C,2190,,,,,,9/4/25
E,20,D,2626,,,,,,9/4/25
E,21,C,1781,10,4.1,2.9,1,,9/4/25
E,21,D,2416,4.2,4,1.7,1,,9/4/25
E,22,C,2036,6,5,2.3,1,,9/4/25
E,22,D,2428,3.6,2,1.7,1,,9/4/25
E,23,C,2409,4.3,2.8,1.4,1,,9/4/25
E,23,D,2325,4.4,2.4,1.7,1,,9/4/25
E,24,C,2585,6.1,3.9,2.3,1,,9/4/25
E,24,D,2502,3.6,3.4,2,1,,9/4/25
E,25,C,2080,7.6,6.3,3.2,1,,9/4/25
E,25,D,2067,10.4,6.4,3.9,1,,9/4/25
E,26,C,1623,8.9,2.4,0.7,0,,9/4/25
E,26,D,2091,7.4,4.8,3.1,1,,9/4/25
E,27,C,1658,,,,,,9/4/25
E,27,D,79,,-,,,dead,9/4/25
E,28,C,2637,37.6,8.7,2,0,,9/4/25
E,28,D,1870,9.7,6.5,4.8,1,,9/4/25
E,29,C,2348,8.1,3,2.6,0,,9/4/25
E,29,D,buffer,,,,,,9/4/25
E,30,C,NA,,2.7,,,,9/4/25
E,30,D,buffer,,,,,,9/4/25
E,41,C,2477,4,2.5,2.1,1,,9/4/25
E,41,D,2259,26.2,11.5,10.9,0,,9/4/25
E,42,C,2473,5.4,3.8,3.6,0,,9/4/25
E,42,D,2245,8.7,4.8,3.3,0,,9/4/25
E,43,C,2648,,,,,,9/4/25
E,43,D,2134,8.7,4.4,2.8,1,,9/4/25
E,44,C,2426,7,4.2,2.4,0,,9/4/25
E,44,D,1763,16.4,4.1,2.4,0,,9/4/25
E,45,C,buffer,,,,,,9/4/25
E,45,D,buffer,,,,,,9/4/25
E,46,c,2297,9,3.8,3,0,,9/4/25
E,46,D,2628,4.5,2.1,1.5,0,,9/4/25
E,47,C,2594,8.4,4.1,3.4,0,,9/4/25
E,47,D,2011,8,4.8,2.9,1,,9/4/25
E,48,C,2081,10,4.6,4,1,,9/4/25
E,48,D,2568,,,,,,9/4/25
E,49,c,380,,,,,dead,9/4/25
E,49,D,2600,10.1,3.4,2.5,0,,9/4/25
E,50,C,1809,6.2,3.8,3.3,1,,9/4/25
E,50,D,2308,11.2,1.9,1.8,1,,9/4/25
E,51,C,1715,36.6,2.7,1.8,0,,9/4/25
E,51,D,2385,,,,,,9/4/25
E,52,C,buffer,,,,,,9/4/25
E,52,D,buffer,,,,,,9/4/25
F,1,A,buffer,,,,,,9/4/25
F,1,B,buffer,,,,,,9/4/25
F,2,A,buffer,,,,,,9/4/25
F,2,B,buffer,,,,,,9/4/25
F,3,A,buffer,,,,,,9/4/25
F,3,B,buffer,,,,,,9/4/25
F,4,A,1842,4.4,3.9,3.4,2,,9/4/25
F,4,B,2528,7.9,4.8,1.8,1,,9/4/25
F,5,A,1783,,,,,,9/4/25
F,5,B,NA,,,,,,9/4/25
F,6,A,2333,17.1,4.7,4.2,0,,9/4/25
F,6,B,2377,,,,,,9/4/25
F,7,A,1859,4.6,1.9,1.1,0,,9/4/25
F,7,B,buffer,,,,,,9/4/25
F,8,A,2048,5.2,3.7,2.4,0,,9/4/25
F,8,B,2015,6.3,2.5,1.9,0,,9/4/25
F,9,A,2449,NA,NA,NA,NA,Dead,9/4/25
F,9,B,1892,4.8,2.3,1.7,0,,9/4/25
F,10,A,2616,,,,,,9/4/25
